target,precursor_ids,doi,year,type
Tb4Mn0.08Zn0.92Si3O13,"235,490,145,457",10.1007/s10854-017-6651-x,2017,test
Na0.0159Si0.3968Pb0.1984O1,"652,738,490",10.1007/s10854-017-6704-1,2017,test
Sr0.7Ce0.2TiO3,"205,795,709",10.1007/s10854-017-6752-6,2017,test
Sr0.7Ce0.184TiBi0.016O3,"641,205,795,709",10.1007/s10854-017-6752-6,2017,test
CaW4O4,"425,177",10.1007/s10854-017-6803-z,2017,test
CaW3.92Mo0.08O4,"425,30,177",10.1007/s10854-017-6803-z,2017,test
CaW3.84Mo0.16O4,"425,30,177",10.1007/s10854-017-6803-z,2017,test
CaW3.76Mo0.24O4,"425,30,177",10.1007/s10854-017-6803-z,2017,test
CaW3.68Mo0.32O4,"425,30,177",10.1007/s10854-017-6803-z,2017,test
Sr1.96Cu2Bi2.1O8,"641,150,795",10.1007/s10854-017-6949-8,2017,test
Eu1.5Fe0.5O3,"60,564",10.1007/s10854-017-7035-y,2017,test
MgGd1.98Eu0.02TiO6,"60,277,40,709",10.1007/s10854-017-7039-7,2017,test
Li3Gd3Te2O12,"277,200,21",10.1007/s10854-017-7088-y,2017,test
Li2Mg0.78Co0.02Zn0.2SiO4,"638,200,40,490,457",10.1007/s10854-017-7205-y,2017,test
NaCa2Nb3O10,"425,652,186",10.1007/s10854-017-7210-1,2017,test
LiCdPO4,"106,200,193",10.1007/s10854-017-7226-6,2017,test
Mg0.5SmSn0.5O3,"310,130,753",10.1007/s10854-017-7269-8,2017,test
Na0.07BaSrTiNbO3,"65,652,186,795,709",10.1007/s10854-017-7285-8,2017,test
Sr0.4La0.45CoBi0.15O3,"641,417,339,795",10.1007/s10854-017-7438-9,2017,test
Sr2LaGa3Ge3O14,"351,244,339,795",10.1007/s10854-017-7488-z,2017,test
Sr2EuGa3Ge3O14,"60,351,244,795",10.1007/s10854-017-7488-z,2017,test
Nb0.333Zn0.667BiO3,"641,186,457",10.1007/s10854-017-7489-y,2017,test
Li2Mg4TiO7,"200,40,709",10.1007/s10854-017-7531-0,2017,test
Y3ZnAl3SiO12,"282,490,43,457",10.1007/s10854-017-7573-3,2017,test
Ca0.02Mg0.35Ti1.02Zn0.65O3.06,"173,40,709,457",10.1007/s10854-017-7584-0,2017,test
Ba4Sm9.3Ti18O54,"65,130,709",10.1007/s10854-017-7607-x,2017,test
Ba4Sm8.37Ce0.93Ti18O54,"65,205,130,709",10.1007/s10854-017-7607-x,2017,test
Ba4Sm4.65Ce4.65Ti18O54,"65,205,130,709",10.1007/s10854-017-7607-x,2017,test
Ba4Sm0.93Ce8.37Ti18O54,"65,205,130,709",10.1007/s10854-017-7607-x,2017,test
NdTiVBi2O9,"641,363,709,268",10.1007/s10854-017-7667-y,2017,test
Na2.8LiAg0.2P2O7,"741,200,652,193",10.1007/s11581-016-1935-3,2017,test
Na2.4LiAg0.6P2O7,"741,200,652,193",10.1007/s11581-016-1935-3,2017,test
Li0.3448Te0.3793Mo0.023O1,"200,30,21",10.1007/s11581-017-1973-5,2017,test
BaYb0.1Ce0.5Y0.1Zr0.3O3,"65,205,43,588,286",10.1007/s11581-017-2086-x,2017,test
Mn46Ni43In11,"390,556,756",10.1007/s11661-017-4191-x,2017,test
Mn45.1Ni43Cu0.9In11,"550,390,556,756",10.1007/s11661-017-4191-x,2017,test
Mn44.7Ni43Cu1.3In11,"550,390,556,756",10.1007/s11661-017-4191-x,2017,test
Mn43.7Ni43Cu2.3In11,"550,390,556,756",10.1007/s11661-017-4191-x,2017,test
CaMgMnAl2SiO8,"282,173,40,357,490",10.1007/s11663-016-0859-7,2017,test
Ca3MgFe10Al6O28,"282,173,564,40",10.1007/s11663-017-0988-7,2017,test
Co32Ni35Al33,"259,493,756",10.1007/s11665-017-2542-9,2017,test
Er0.1Co32Ni35Al32.9,"259,493,626,756",10.1007/s11665-017-2542-9,2017,test
Er0.5Co32Ni35Al32.5,"259,493,626,756",10.1007/s11665-017-2542-9,2017,test
ErCo32Ni35Al32,"259,493,626,756",10.1007/s11665-017-2542-9,2017,test
Yb2TaAlO7,"282,116,588",10.1007/s11665-017-3062-3,2017,test
Yb1.8La0.2TaAlO7,"282,339,116,588",10.1007/s11665-017-3062-3,2017,test
Yb1.4La0.6TaAlO7,"282,339,116,588",10.1007/s11665-017-3062-3,2017,test
YbLaTaAlO7,"282,339,116,588",10.1007/s11665-017-3062-3,2017,test
Fe15Al85,"259,26",10.1007/s11837-016-2239-9,2017,test
SrPr0.15Ta1.6Nb0.4Bi1.85O9,"641,186,265,795,116",10.1016/j.actamat.2016.11.001,2017,test
SrTa1.6Nb0.4Bi2O9,"641,186,795,116",10.1016/j.jeurceramsoc.2018.07.044,2018,test
Er20Ho20Dy20Tb20Gd20,"72,626,83,135,326",10.1016/j.actamat.2016.12.021,2017,test
Er25Ho25Dy25Tb25,"72,626,135,326",10.1016/j.actamat.2016.12.021,2017,test
Er33.33Ho33.33Tb33.34,"626,135,326",10.1016/j.actamat.2016.12.021,2017,test
Er25Ho25Tb25Gd25,"626,83,135,326",10.1016/j.actamat.2016.12.021,2017,test
Ti57Ni35Sn8,"756,541,480",10.1016/j.actamat.2017.03.052,2017,test
Ag3P2O6I,"136,491,446",10.1016/j.anucene.2017.06.042,2017,test
NaCaMgCl5,"191,196,292",10.1016/j.apenergy.2017.03.096,2017,test
LiInO2,"732,200",10.1016/j.apsusc.2016.07.037,2017,test
LiMn1.8Al0.1O4,"423,200,99",10.1016/j.apsusc.2016.09.059,2017,test
MgNiO,"40,661",10.1016/j.apsusc.2017.02.028,2017,test
Ta50Si50,"650,316",10.1016/j.apsusc.2017.05.130,2017,test
Ti8Ta42Si50,"650,316,480",10.1016/j.apsusc.2017.05.130,2017,test
Ca5MgSi3O12,"425,479,490",10.1016/j.apsusc.2017.06.268,2017,test
Fe2.6Sn0.4O4,"564,753",10.1016/j.apsusc.2017.06.317,2017,test
Ti58Ni12Cu22Al8,"259,550,756,480",10.1016/j.apt.2016.12.007,2017,test
Ti40.6W30Ni8.5Cu15.4Al5.5,"259,550,756,480,605",10.1016/j.apt.2016.12.007,2017,test
CeNiO3,"146,471",10.1016/j.cattod.2016.05.026,2017,test
TiTaCrO2,"663,116,709",10.1016/j.cattod.2017.01.035,2017,test
CeLa2O5,"205,339",10.1016/j.cattod.2017.11.010,2017,test
Ba2.99Eu0.01La6Si6O24,"65,60,339,490",10.1016/j.cej.2016.10.109,2017,test
Ba2.95Eu0.05La6Si6O24,"65,60,339,490",10.1016/j.cej.2016.10.109,2017,test
Ba2.9Eu0.1La6Si6O24,"65,60,339,490",10.1016/j.cej.2016.10.109,2017,test
Ba2.85Eu0.15La6Si6O24,"65,60,339,490",10.1016/j.cej.2016.10.109,2017,test
Ba2.8Eu0.2La6Si6O24,"65,60,339,490",10.1016/j.cej.2016.10.109,2017,test
Ba2.75Eu0.25La6Si6O24,"65,60,339,490",10.1016/j.cej.2016.10.109,2017,test
Ba2.7Eu0.3La6Si6O24,"65,60,339,490",10.1016/j.cej.2016.10.109,2017,test
Ba2.65Eu0.35La6Si6O24,"65,60,339,490",10.1016/j.cej.2016.10.109,2017,test
Ba3YAl2O7.5,"282,65,43",10.1016/j.cej.2017.01.044,2017,test
BaY2Al4SiO12,"282,65,490,43",10.1016/j.ceramint.2017.02.055,2017,test
BaCe0.08Y1.92Al4SiO12,"282,65,205,490,43",10.1016/j.ceramint.2017.02.055,2017,test
Nd0.4Fe2Co2Sb12,"493,26,635,108",10.1016/j.ceramint.2017.03.011,2017,test
Nd0.5Fe2Co2Sb12,"493,26,635,108",10.1016/j.ceramint.2017.03.011,2017,test
Nd0.6Fe2Co2Sb12,"493,26,635,108",10.1016/j.ceramint.2017.03.011,2017,test
Nd0.7Fe2Co2Sb12,"493,26,635,108",10.1016/j.ceramint.2017.03.011,2017,test
Nd0.8Fe2Co2Sb12,"493,26,635,108",10.1016/j.ceramint.2017.03.011,2017,test
LiCo0.075Zn1.425SiO4,"638,200,490,457",10.1016/j.ceramint.2017.03.058,2017,test
Sr0.5Pr0.4Re0.1MnO3,"489,265,71,795",10.1016/j.ceramint.2017.06.094,2017,test
Na0.2763Lu0.0658Al0.2632Si0.2632O1F0.3158,"282,295,652,606,490",10.1016/j.ceramint.2017.07.014,2017,test
Ti2Nb3O10,"186,709",10.1016/j.ceramint.2017.08.091,2017,test
GdW2BiO9,"641,277,177",10.1016/j.cplett.2017.07.059,2017,test
Nb2AgO5F,"668,186",10.1016/j.cplett.2017.09.062,2017,test
Ba2WZn0.92O6,"65,177,457",10.1016/j.cplett.2017.10.006,2017,test
Ba2WZn0.91O6,"65,177,457",10.1016/j.cplett.2017.10.006,2017,test
Ba2WZn0.9O6,"65,177,457",10.1016/j.cplett.2017.10.006,2017,test
Ba2WZn0.89O6,"65,177,457",10.1016/j.cplett.2017.10.006,2017,test
Ba2WZn0.88O6,"65,177,457",10.1016/j.cplett.2017.10.006,2017,test
Na3Ca6P5O20,"425,652,193",10.1016/j.displa.2017.05.002,2017,test
CoAl10,"282,638,417",10.1016/j.dyepig.2016.09.061,2017,test
CoAl30,"282,638,417",10.1016/j.dyepig.2016.09.061,2017,test
CoAl20,"282,638,417",10.1016/j.dyepig.2016.09.061,2017,test
CoAl,"282,638,417",10.1016/j.dyepig.2016.09.061,2017,test
CoAl5,"282,638,417",10.1016/j.dyepig.2016.09.061,2017,test
Yb6Mo2O15,"6,588",10.1016/j.dyepig.2016.11.024,2017,test
MgYSi2NO5,"40,532,490,43",10.1016/j.dyepig.2016.12.012,2017,test
Ba10P6O25,"65,446",10.1016/j.dyepig.2016.12.042,2017,test
BaLu6Si7O24,"65,595,490",10.1016/j.dyepig.2016.12.059,2017,test
BaLu5.82Si7O24,"65,595,490",10.1016/j.dyepig.2016.12.059,2017,test
BaLu4.62Si7O24,"65,595,490",10.1016/j.dyepig.2016.12.059,2017,test
Zr3Bi4O12,"641,286",10.1016/j.dyepig.2017.01.013,2017,test
Gd8Mn2Si6O26,"277,157,490",10.1016/j.dyepig.2017.01.033,2017,test
Ba2La7.2Si6O26,"65,339,490",10.1016/j.dyepig.2017.03.048,2017,test
Ba2La6.4Si6O26,"65,339,490",10.1016/j.dyepig.2017.03.048,2017,test
Ba2La5.6Si6O26,"65,339,490",10.1016/j.dyepig.2017.03.048,2017,test
Ba2La4.8Si6O26,"65,339,490",10.1016/j.dyepig.2017.03.048,2017,test
Ba2La4Si6O26,"65,339,490",10.1016/j.dyepig.2017.03.048,2017,test
Ba2La3.2Si6O26,"65,339,490",10.1016/j.dyepig.2017.03.048,2017,test
Ba2La1.6Si6O26,"65,339,490",10.1016/j.dyepig.2017.03.048,2017,test
Ba2Si6O26,"65,490",10.1016/j.dyepig.2017.03.048,2017,test
Nd2Si2O7,"363,490",10.1016/j.dyepig.2017.06.005,2017,test
Sm3Fe5O12,"564,130",10.1016/j.dyepig.2017.06.038,2017,test
Sm2.9Fe5Bi0.1O12,"641,564,130",10.1016/j.dyepig.2017.06.038,2017,test
Sm2.7Fe5Bi0.3O12,"641,564,130",10.1016/j.dyepig.2017.06.038,2017,test
Sm2.5Fe5Bi0.5O12,"641,564,130",10.1016/j.dyepig.2017.06.038,2017,test
SrCaF4,"782,746",10.1016/j.electacta.2016.12.051,2017,test
Ba0.5Ca0.5F2,"460,782",10.1039/c7dt04487a,2018,test
Li0.375Sr0.438Hf0.25Ta0.75O3,"682,200,795,116",10.1016/j.electacta.2017.03.041,2017,test
Ca2Al2O5,"282,425",10.1016/j.fuel.2017.04.111,2017,test
Lu0.1Gd0.1Bi2O3.3,"641,277,595",10.1016/j.ijhydene.2016.08.052,2017,test
Lu0.2Gd0.1Bi2O3.45,"641,277,595",10.1016/j.ijhydene.2016.08.052,2017,test
Lu0.3Gd0.1Bi2O3.6,"641,277,595",10.1016/j.ijhydene.2016.08.052,2017,test
Lu0.4Gd0.1Bi2O3.75,"641,277,595",10.1016/j.ijhydene.2016.08.052,2017,test
LaMn0.5Al0.5O3,"152,328,227",10.1016/j.ijhydene.2017.02.051,2017,test
Li0.3Sr0.03Ni0.9Cu0.07O2,"267,200,680,795",10.1016/j.ijhydene.2017.03.025,2017,test
BaY0.15Zr0.75O3,"65,43,286",10.1016/j.ijhydene.2017.04.061,2017,test
Zr0.2Ti0.8Mn1.5,"556,480,393",10.1016/j.ijhydene.2017.04.073,2017,test
Mg0.258La0.774Ni3.268,"484,792,756",10.1016/j.ijhydene.2017.10.062,2017,test
Ge40Sb5Se60,"407,108,733",10.1016/j.infrared.2017.04.010,2017,test
Ge25Sb5As15Se60,"167,407,108,733",10.1016/j.infrared.2017.04.010,2017,test
Te20Se80,"733,502",10.1016/j.infrared.2017.05.014,2017,test
Sb6Te20Se74,"108,733,502",10.1016/j.infrared.2017.05.014,2017,test
Sb12Te20Se68,"108,733,502",10.1016/j.infrared.2017.05.014,2017,test
Ag0.0441Ge0.25Te1I0.0441,"491,407,502",10.1016/j.infrared.2017.09.006,2017,test
Ba3CoSb2O9,"65,417,134",10.1016/j.jcrysgro.2016.10.075,2017,test
Mn2BO4,"512,235",10.1016/j.jcrysgro.2017.06.026,2017,test
PtTe,"252,502",10.1016/j.jct.2016.11.016,2017,test
LiNbMoO6,"200,30,186",10.1016/j.jechem.2016.09.010,2017,test
LiTaWO6,"200,116,177",10.1016/j.jechem.2016.09.010,2017,test
LiNbWO6,"200,186,177",10.1016/j.jechem.2016.09.010,2017,test
Ba0.0729Ti0.0241Fe0.586O1,"65,564,709",10.1016/j.jeurceramsoc.2016.08.021,2017,test
Li2ZnGe3O8,"244,200,457",10.1016/j.jeurceramsoc.2016.09.013,2017,test
Ti45Nb10Co45,"493,198,480",10.1016/j.jeurceramsoc.2016.09.031,2017,test
LiNb3CuO9,"150,200,186",10.1016/j.jeurceramsoc.2016.12.019,2017,test
SrCeTi2O6,"205,795,709",10.1016/j.jeurceramsoc.2017.03.046,2017,test
Gd1.998Ce0.003Y0.999Ga3Al2O12,"282,205,351,277,43",10.1016/j.jeurceramsoc.2017.03.057,2017,test
Mg0.0555Zr0.08Ti0.0867Nb0.1112Pb0.3333O1,"310,186,738,709,286",10.1016/j.jeurceramsoc.2017.04.043,2017,test
In2Si2O7,"732,490",10.1016/j.jlumin.2016.11.021,2017,test
Li1.14Zn1.43SiO4,"200,490,457",10.1016/j.jlumin.2016.11.026,2017,test
Gd1.9Eu0.1Mo4O15,"60,277,30",10.1016/j.jlumin.2016.12.013,2017,test
Gd1.8Eu0.2Mo4O15,"60,277,30",10.1016/j.jlumin.2016.12.013,2017,test
Gd1.6Eu0.4Mo4O15,"60,277,30",10.1016/j.jlumin.2016.12.013,2017,test
Gd1.2Eu0.8Mo4O15,"60,277,30",10.1016/j.jlumin.2016.12.013,2017,test
GdEuMo4O15,"60,277,30",10.1016/j.jlumin.2016.12.013,2017,test
Gd0.8Eu1.2Mo4O15,"60,277,30",10.1016/j.jlumin.2016.12.013,2017,test
Gd0.6Eu1.4Mo4O15,"60,277,30",10.1016/j.jlumin.2016.12.013,2017,test
GdZnPO,"83,13,457",10.1016/j.jlumin.2016.12.017,2017,test
YZnPO,"13,367,457",10.1016/j.jlumin.2016.12.017,2017,test
Na4Al6Si15O41,"423,652,490",10.1016/j.jlumin.2016.12.020,2017,test
Sr3Lu2Si6O18,"595,490,795",10.1016/j.jlumin.2016.12.037,2017,test
Ce0.036Y2.964Al7O15,"282,205,43",10.1016/j.jlumin.2017.02.011,2017,test
Ce0.036Y2.964Al7O15,"282,205,43",10.1016/j.jlumin.2017.02.011,2017,test
Ce0.042Y2.958Al7O15,"282,205,43",10.1016/j.jlumin.2017.02.011,2017,test
Ce0.048Y2.952Al7O15,"282,205,43",10.1016/j.jlumin.2017.02.011,2017,test
Mg4TiSnO8,"40,753,709",10.1016/j.jlumin.2017.03.026,2017,test
Mg3TiAl2O8,"282,40,709",10.1016/j.jlumin.2017.03.026,2017,test
Sr1.94MgSi2O7,"40,490,795",10.1016/j.jlumin.2017.04.068,2017,test
Sr1.552Ca0.388MgSi2O7,"425,40,490,795",10.1016/j.jlumin.2017.04.068,2017,test
Sr1.164Ca0.776MgSi2O7,"425,40,490,795",10.1016/j.jlumin.2017.04.068,2017,test
Sr0.776Ca1.164MgSi2O7,"425,40,490,795",10.1016/j.jlumin.2017.04.068,2017,test
Sr0.388Ca1.552MgSi2O7,"425,40,490,795",10.1016/j.jlumin.2017.04.068,2017,test
Ca1.94MgSi2O7,"425,40,490",10.1016/j.jlumin.2017.04.068,2017,test
Er0.0045Zn0.0454B0.2721Te0.2698O1,"512,220,21,457",10.1016/j.jlumin.2017.05.059,2017,test
Er2AgZnB2TeO9Cl,"529,512,220,21,457",10.1016/j.jlumin.2017.05.059,2017,test
Ba0.98Zn2B2O6,"512,65,457",10.1016/j.jlumin.2017.06.009,2017,test
Ba0.96Zn2B2O6,"512,65,457",10.1016/j.jlumin.2017.06.009,2017,test
Ba0.94Zn2B2O6,"512,65,457",10.1016/j.jlumin.2017.06.009,2017,test
Ba0.92Zn2B2O6,"512,65,457",10.1016/j.jlumin.2017.06.009,2017,test
Ba0.9Zn2B2O6,"512,65,457",10.1016/j.jlumin.2017.06.009,2017,test
Ba0.88Zn2B2O6,"512,65,457",10.1016/j.jlumin.2017.06.009,2017,test
TiB38O59,"512,709",10.1016/j.jlumin.2017.06.010,2017,test
LiGe4O9,"244,200",10.1016/j.jlumin.2017.08.036,2017,test
Zr57Nb2.5Ni20Cu5.5Al15,"259,550,198,756,393",10.1016/j.jmapro.2016.11.015,2017,test
Ce0.15Co4In0.15Sb12,"323,493,390,108",10.1016/j.jmat.2017.07.003,2017,test
NdFe4B4,"170,26,635",10.1016/j.jmmm.2016.10.127,2017,test
NdCr0.5Fe0.5O3,"663,564,363",10.1016/j.jmmm.2016.12.035,2017,test
BaNdFeCuO5,"65,150,564,363",10.1016/j.jmmm.2017.01.083,2017,test
Ca0.5La1.5MnCoO6,"173,417,339,357",10.1016/j.jmmm.2017.03.017,2017,test
Ba3VCrS4O3,"17,283,345,616",10.1016/j.jmmm.2017.04.003,2017,test
Sr1.2Gd0.8CoO4,"417,277,795",10.1016/j.jmmm.2017.04.013,2017,test
DyNi0.67Si1.34,"72,756,650",10.1016/j.jmmm.2017.04.033,2017,test
GdZn2,"83,342",10.1016/j.jmmm.2017.04.064,2017,test
NdZn2,"635,342",10.1016/j.jmmm.2017.04.064,2017,test
Ho2Co2Al,"259,493,135",10.1016/j.jmmm.2017.05.067,2017,test
Sr0.3Ca0.3La0.7MnO3,"425,339,489,795",10.1016/j.jmmm.2017.06.091,2017,test
Sr3Fe2Cu2S2O5,"150,564,171",10.1016/j.jmmm.2017.07.026,2017,test
Er2Co,"493,626",10.1016/j.jmmm.2017.08.015,2017,test
Mn2CoGa,"493,563,556",10.1016/j.jmmm.2017.12.043,2017,test
NaGaGeO4,"351,244,652",10.1016/j.jnoncrysol.2016.10.030,2017,test
Ca6Mg67.2Zn26.8,"591,792,342",10.1016/j.jnoncrysol.2016.11.011,2017,test
Ca15Mg15Si4P16O78,"425,40,380,490",10.1016/j.jnoncrysol.2016.11.020,2017,test
Zn0.1562Te0.0312P0.3125O1,"446,21,457",10.1016/j.jnoncrysol.2016.11.036,2017,test
Na2Li2ZnP2O8,"200,652,446,457",10.1016/j.jnoncrysol.2016.12.006,2017,test
Zn0.05Te0.45Pb0.05O1,"646,21,457",10.1016/j.jnoncrysol.2017.01.012,2017,test
Zn0.0476Te0.4286Pb0.0952O1,"646,21,457",10.1016/j.jnoncrysol.2017.01.012,2017,test
Zn0.0455Te0.4091Pb0.1364O1,"646,21,457",10.1016/j.jnoncrysol.2017.01.012,2017,test
Zn0.0444Te0.4Pb0.1556O1,"646,21,457",10.1016/j.jnoncrysol.2017.01.012,2017,test
Zn0.0435Te0.3913Pb0.1739O1,"646,21,457",10.1016/j.jnoncrysol.2017.01.012,2017,test
Na2LiPO4,"200,652,452",10.1016/j.jnoncrysol.2017.02.011,2017,test
GeTe4,"407,502",10.1016/j.jnoncrysol.2017.03.001,2017,test
Ge10As40Te50,"167,407,502",10.1016/j.jnoncrysol.2017.03.001,2017,test
Al2Te3O9,"282,21",10.1016/j.jnoncrysol.2017.04.034,2017,test
Ag5P3I2O9,"491,440",10.1016/j.jnoncrysol.2017.04.046,2017,test
Er0.0089Si0.0881B0.2114Te0.2467O1,"512,220,490,21",10.1016/j.jnoncrysol.2017.07.013,2017,test
