,precursor_ids,target,doi,year,type
56,"['Bi2O3', 'CaCO3', 'PH6NO4', 'Sm2O3']",Ca3Sm0.05Bi0.95P3O12,10.1007/s10854-016-5865-7,2017,test
57,"['BaCO3', 'La2O3', 'SrCO3', 'TiO2']",Ba0.558Sr0.372La3.72Ti3.79O14.09,10.1007/s10854-016-5935-x,2017,test
58,"['CdCO3', 'GeO2']",CdGeO3,10.1007/s10854-016-6152-3,2017,test
59,"['CdCO3', 'Eu2O3', 'GeO2']",Eu0.005Cd0.995GeO3,10.1007/s10854-016-6152-3,2017,test
60,"['CdCO3', 'Eu2O3', 'GeO2']",Eu0.01Cd0.99GeO3,10.1007/s10854-016-6152-3,2017,test
61,"['CdCO3', 'Eu2O3', 'GeO2']",Eu0.02Cd0.98GeO3,10.1007/s10854-016-6152-3,2017,test
62,"['CdCO3', 'Eu2O3', 'GeO2']",Eu0.03Cd0.97GeO3,10.1007/s10854-016-6152-3,2017,test
63,"['CdCO3', 'Eu2O3', 'GeO2']",Eu0.05Cd0.95GeO3,10.1007/s10854-016-6152-3,2017,test
64,"['CdCO3', 'Eu2O3', 'GeO2']",Eu0.07Cd0.93GeO3,10.1007/s10854-016-6152-3,2017,test
65,"['CdCO3', 'Eu2O3', 'GeO2']",Eu0.09Cd0.91GeO3,10.1007/s10854-016-6152-3,2017,test
66,"['CuO', 'Na2CO3', 'Nb2O5', 'TiO2']",NaTi3.1Nb0.9Cu3O12,10.1007/s10854-016-6190-x,2017,test
67,"['GeO2', 'Pr6O11', 'Sb2O3', 'ZnO']",Pr0.003Zn0.0423Ge0.1904Sb0.3808O1,10.1007/s10854-016-6218-2,2017,test
68,"['GeO2', 'PrF3', 'Sb2O3', 'ZnO']",Pr0.0031Zn0.0426Ge0.1915Sb0.383O1F0.0092,10.1007/s10854-016-6218-2,2017,test
69,"['Eu2O3', 'Tb4O7']",Tb4Eu2O10,10.1007/s10854-016-6226-2,2017,test
70,"['Er', 'S']",Er2S3,10.1007/s10854-016-6306-3,2017,test
71,"['Dy2O3', 'Fe2O3']",Dy2FeO3,10.1007/s10854-017-6628-9,2017,test
72,"['Bi2O3', 'Fe2O3', 'La2O3', 'PbO', 'ZrO2']",La0.025Zr0.5Fe0.475Pb0.5Bi0.5O3,10.1007/s10854-017-6644-9,2017,test
73,"['Bi2O3', 'Fe2O3', 'La2O3', 'PbO', 'ZrO2']",La0.05Zr0.5Fe0.45Pb0.5Bi0.5O3,10.1007/s10854-017-6644-9,2017,test
74,"['Bi2O3', 'Fe2O3', 'La2O3', 'PbO', 'ZrO2']",La0.075Zr0.5Fe0.425Pb0.5Bi0.5O3,10.1007/s10854-017-6644-9,2017,test
75,"['Bi2O3', 'Fe2O3', 'La2O3', 'PbO', 'ZrO2']",La0.1Zr0.5Fe0.4Pb0.5Bi0.5O3,10.1007/s10854-017-6644-9,2017,test
76,"['Gd2O3', 'SiO2', 'ZnO']",Gd4ZnSi3O13,10.1007/s10854-017-6651-x,2017,test
77,"['SiO2', 'Tb4O7', 'ZnO']",Tb4ZnSi3O13,10.1007/s10854-017-6651-x,2017,test
78,"['Gd2O3', 'Mn2O3', 'SiO2', 'ZnO']",Gd4Mn0.08Zn0.92Si3O13,10.1007/s10854-017-6651-x,2017,test
79,"['Mn2O3', 'SiO2', 'Tb4O7', 'ZnO']",Tb4Mn0.08Zn0.92Si3O13,10.1007/s10854-017-6651-x,2017,test
80,"['Na2CO3', 'Pb3O4', 'SiO2']",Na0.0159Si0.3968Pb0.1984O1,10.1007/s10854-017-6704-1,2017,test
81,"['CeO2', 'SrCO3', 'TiO2']",Sr0.7Ce0.2TiO3,10.1007/s10854-017-6752-6,2017,test
82,"['Bi2O3', 'CeO2', 'SrCO3', 'TiO2']",Sr0.7Ce0.184TiBi0.016O3,10.1007/s10854-017-6752-6,2017,test
83,"['CaCO3', 'WO3']",CaW4O4,10.1007/s10854-017-6803-z,2017,test
84,"['CaCO3', 'MoO3', 'WO3']",CaW3.92Mo0.08O4,10.1007/s10854-017-6803-z,2017,test
85,"['CaCO3', 'MoO3', 'WO3']",CaW3.84Mo0.16O4,10.1007/s10854-017-6803-z,2017,test
86,"['CaCO3', 'MoO3', 'WO3']",CaW3.76Mo0.24O4,10.1007/s10854-017-6803-z,2017,test
87,"['CaCO3', 'MoO3', 'WO3']",CaW3.68Mo0.32O4,10.1007/s10854-017-6803-z,2017,test
88,"['Bi2O3', 'CuO', 'SrCO3']",Sr1.96Cu2Bi2.1O8,10.1007/s10854-017-6949-8,2017,test
89,"['Eu2O3', 'Fe2O3']",Eu1.5Fe0.5O3,10.1007/s10854-017-7035-y,2017,test
90,"['Eu2O3', 'Gd2O3', 'MgO', 'TiO2']",MgGd1.98Eu0.02TiO6,10.1007/s10854-017-7039-7,2017,test
91,"['Gd2O3', 'Li2CO3', 'TeO2']",Li3Gd3Te2O12,10.1007/s10854-017-7088-y,2017,test
92,"['Co2O3', 'Li2CO3', 'MgO', 'SiO2', 'ZnO']",Li2Mg0.78Co0.02Zn0.2SiO4,10.1007/s10854-017-7205-y,2017,test
93,"['CaCO3', 'Na2CO3', 'Nb2O5']",NaCa2Nb3O10,10.1007/s10854-017-7210-1,2017,test
94,"['CdO', 'Li2CO3', 'PH6NO4']",LiCdPO4,10.1007/s10854-017-7226-6,2017,test
95,"['MgCO3', 'Sm2O3', 'SnO2']",Mg0.5SmSn0.5O3,10.1007/s10854-017-7269-8,2017,test
96,"['BaCO3', 'Na2CO3', 'Nb2O5', 'SrCO3', 'TiO2']",Na0.07BaSrTiNbO3,10.1007/s10854-017-7285-8,2017,test
97,"['Bi2O3', 'Co3O4', 'La2O3', 'SrCO3']",Sr0.4La0.45CoBi0.15O3,10.1007/s10854-017-7438-9,2017,test
98,"['Ga2O3', 'GeO2', 'La2O3', 'SrCO3']",Sr2LaGa3Ge3O14,10.1007/s10854-017-7488-z,2017,test
99,"['Eu2O3', 'Ga2O3', 'GeO2', 'SrCO3']",Sr2EuGa3Ge3O14,10.1007/s10854-017-7488-z,2017,test
100,"['Bi2O3', 'Nb2O5', 'ZnO']",Nb0.333Zn0.667BiO3,10.1007/s10854-017-7489-y,2017,test
101,"['Li2CO3', 'MgO', 'TiO2']",Li2Mg4TiO7,10.1007/s10854-017-7531-0,2017,test
102,"['Al2O3', 'SiO2', 'Y2O3', 'ZnO']",Y3ZnAl3SiO12,10.1007/s10854-017-7573-3,2017,test
103,"['CaO', 'MgO', 'TiO2', 'ZnO']",Ca0.02Mg0.35Ti1.02Zn0.65O3.06,10.1007/s10854-017-7584-0,2017,test
104,"['BaCO3', 'Sm2O3', 'TiO2']",Ba4Sm9.3Ti18O54,10.1007/s10854-017-7607-x,2017,test
105,"['BaCO3', 'CeO2', 'Sm2O3', 'TiO2']",Ba4Sm8.37Ce0.93Ti18O54,10.1007/s10854-017-7607-x,2017,test
106,"['BaCO3', 'CeO2', 'Sm2O3', 'TiO2']",Ba4Sm4.65Ce4.65Ti18O54,10.1007/s10854-017-7607-x,2017,test
107,"['BaCO3', 'CeO2', 'Sm2O3', 'TiO2']",Ba4Sm0.93Ce8.37Ti18O54,10.1007/s10854-017-7607-x,2017,test
108,"['Bi2O3', 'Nd2O3', 'TiO2', 'V2O5']",NdTiVBi2O9,10.1007/s10854-017-7667-y,2017,test
109,"['Ag2CO3', 'Li2CO3', 'Na2CO3', 'PH6NO4']",Na2.8LiAg0.2P2O7,10.1007/s11581-016-1935-3,2017,test
110,"['Ag2CO3', 'Li2CO3', 'Na2CO3', 'PH6NO4']",Na2.4LiAg0.6P2O7,10.1007/s11581-016-1935-3,2017,test
111,"['Li2CO3', 'MoO3', 'TeO2']",Li0.3448Te0.3793Mo0.023O1,10.1007/s11581-017-1973-5,2017,test
112,"['BaCO3', 'CeO2', 'Y2O3', 'Yb2O3', 'ZrO2']",BaYb0.1Ce0.5Y0.1Zr0.3O3,10.1007/s11581-017-2086-x,2017,test
113,"['In', 'Mn', 'Ni']",Mn46Ni43In11,10.1007/s11661-017-4191-x,2017,test
114,"['Cu', 'In', 'Mn', 'Ni']",Mn45.1Ni43Cu0.9In11,10.1007/s11661-017-4191-x,2017,test
115,"['Cu', 'In', 'Mn', 'Ni']",Mn44.7Ni43Cu1.3In11,10.1007/s11661-017-4191-x,2017,test
116,"['Cu', 'In', 'Mn', 'Ni']",Mn43.7Ni43Cu2.3In11,10.1007/s11661-017-4191-x,2017,test
117,"['Al2O3', 'CaO', 'MgO', 'MnO', 'SiO2']",CaMgMnAl2SiO8,10.1007/s11663-016-0859-7,2017,test
118,"['Al2O3', 'CaO', 'Fe2O3', 'MgO']",Ca3MgFe10Al6O28,10.1007/s11663-017-0988-7,2017,test
119,"['Al', 'Co', 'Ni']",Co32Ni35Al33,10.1007/s11665-017-2542-9,2017,test
120,"['Al', 'Co', 'Er', 'Ni']",Er0.1Co32Ni35Al32.9,10.1007/s11665-017-2542-9,2017,test
121,"['Al', 'Co', 'Er', 'Ni']",Er0.5Co32Ni35Al32.5,10.1007/s11665-017-2542-9,2017,test
122,"['Al', 'Co', 'Er', 'Ni']",ErCo32Ni35Al32,10.1007/s11665-017-2542-9,2017,test
123,"['Al2O3', 'Ta2O5', 'Yb2O3']",Yb2TaAlO7,10.1007/s11665-017-3062-3,2017,test
124,"['Al2O3', 'La2O3', 'Ta2O5', 'Yb2O3']",Yb1.8La0.2TaAlO7,10.1007/s11665-017-3062-3,2017,test
125,"['Al2O3', 'La2O3', 'Ta2O5', 'Yb2O3']",Yb1.4La0.6TaAlO7,10.1007/s11665-017-3062-3,2017,test
126,"['Al2O3', 'La2O3', 'Ta2O5', 'Yb2O3']",YbLaTaAlO7,10.1007/s11665-017-3062-3,2017,test
127,"['Al', 'Fe']",Fe15Al85,10.1007/s11837-016-2239-9,2017,test
128,"['Bi2O3', 'Nb2O5', 'Pr6O11', 'SrCO3', 'Ta2O5']",SrPr0.15Ta1.6Nb0.4Bi1.85O9,10.1016/j.actamat.2016.11.001,2017,test
129,"['Bi2O3', 'Nb2O5', 'SrCO3', 'Ta2O5']",SrTa1.6Nb0.4Bi2O9,10.1016/j.jeurceramsoc.2018.07.044,2018,test
130,"['Dy', 'Er', 'Gd', 'Ho', 'Tb']",Er20Ho20Dy20Tb20Gd20,10.1016/j.actamat.2016.12.021,2017,test
131,"['Dy', 'Er', 'Ho', 'Tb']",Er25Ho25Dy25Tb25,10.1016/j.actamat.2016.12.021,2017,test
132,"['Er', 'Ho', 'Tb']",Er33.33Ho33.33Tb33.34,10.1016/j.actamat.2016.12.021,2017,test
133,"['Er', 'Gd', 'Ho', 'Tb']",Er25Ho25Tb25Gd25,10.1016/j.actamat.2016.12.021,2017,test
134,"['Ni', 'Sn', 'Ti']",Ti57Ni35Sn8,10.1016/j.actamat.2017.03.052,2017,test
135,"['Ag2O', 'AgI', 'P2O5']",Ag3P2O6I,10.1016/j.anucene.2017.06.042,2017,test
136,"['CaCl2', 'MgCl2', 'NaCl']",NaCaMgCl5,10.1016/j.apenergy.2017.03.096,2017,test
137,"['In2O3', 'Li2CO3']",LiInO2,10.1016/j.apsusc.2016.07.037,2017,test
138,"['Al(HO)3', 'Li2CO3', 'Mn3O4']",LiMn1.8Al0.1O4,10.1016/j.apsusc.2016.09.059,2017,test
139,"['MgO', 'NiO']",MgNiO,10.1016/j.apsusc.2017.02.028,2017,test
140,"['Si', 'Ta']",Ta50Si50,10.1016/j.apsusc.2017.05.130,2017,test
141,"['Si', 'Ta', 'Ti']",Ti8Ta42Si50,10.1016/j.apsusc.2017.05.130,2017,test
142,"['CaCO3', 'Mg5H2(C2O7)2', 'SiO2']",Ca5MgSi3O12,10.1016/j.apsusc.2017.06.268,2017,test
143,"['Fe2O3', 'SnO2']",Fe2.6Sn0.4O4,10.1016/j.apsusc.2017.06.317,2017,test
144,"['Al', 'Cu', 'Ni', 'Ti']",Ti58Ni12Cu22Al8,10.1016/j.apt.2016.12.007,2017,test
145,"['Al', 'Cu', 'Ni', 'Ti', 'W']",Ti40.6W30Ni8.5Cu15.4Al5.5,10.1016/j.apt.2016.12.007,2017,test
146,"['Ce(NO3)3', 'Ni(NO3)2']",CeNiO3,10.1016/j.cattod.2016.05.026,2017,test
147,"['Cr2O3', 'Ta2O5', 'TiO2']",TiTaCrO2,10.1016/j.cattod.2017.01.035,2017,test
148,"['CeO2', 'La2O3']",CeLa2O5,10.1016/j.cattod.2017.11.010,2017,test
149,"['BaCO3', 'Eu2O3', 'La2O3', 'SiO2']",Ba2.99Eu0.01La6Si6O24,10.1016/j.cej.2016.10.109,2017,test
150,"['BaCO3', 'Eu2O3', 'La2O3', 'SiO2']",Ba2.95Eu0.05La6Si6O24,10.1016/j.cej.2016.10.109,2017,test
151,"['BaCO3', 'Eu2O3', 'La2O3', 'SiO2']",Ba2.9Eu0.1La6Si6O24,10.1016/j.cej.2016.10.109,2017,test
152,"['BaCO3', 'Eu2O3', 'La2O3', 'SiO2']",Ba2.85Eu0.15La6Si6O24,10.1016/j.cej.2016.10.109,2017,test
153,"['BaCO3', 'Eu2O3', 'La2O3', 'SiO2']",Ba2.8Eu0.2La6Si6O24,10.1016/j.cej.2016.10.109,2017,test
154,"['BaCO3', 'Eu2O3', 'La2O3', 'SiO2']",Ba2.75Eu0.25La6Si6O24,10.1016/j.cej.2016.10.109,2017,test
155,"['BaCO3', 'Eu2O3', 'La2O3', 'SiO2']",Ba2.7Eu0.3La6Si6O24,10.1016/j.cej.2016.10.109,2017,test
156,"['BaCO3', 'Eu2O3', 'La2O3', 'SiO2']",Ba2.65Eu0.35La6Si6O24,10.1016/j.cej.2016.10.109,2017,test
157,"['Al2O3', 'BaCO3', 'Y2O3']",Ba3YAl2O7.5,10.1016/j.cej.2017.01.044,2017,test
158,"['Al2O3', 'BaCO3', 'SiO2', 'Y2O3']",BaY2Al4SiO12,10.1016/j.ceramint.2017.02.055,2017,test
159,"['Al2O3', 'BaCO3', 'CeO2', 'SiO2', 'Y2O3']",BaCe0.08Y1.92Al4SiO12,10.1016/j.ceramint.2017.02.055,2017,test
160,"['Co', 'Fe', 'Nd', 'Sb']",Nd0.4Fe2Co2Sb12,10.1016/j.ceramint.2017.03.011,2017,test
161,"['Co', 'Fe', 'Nd', 'Sb']",Nd0.5Fe2Co2Sb12,10.1016/j.ceramint.2017.03.011,2017,test
162,"['Co', 'Fe', 'Nd', 'Sb']",Nd0.6Fe2Co2Sb12,10.1016/j.ceramint.2017.03.011,2017,test
163,"['Co', 'Fe', 'Nd', 'Sb']",Nd0.7Fe2Co2Sb12,10.1016/j.ceramint.2017.03.011,2017,test
164,"['Co', 'Fe', 'Nd', 'Sb']",Nd0.8Fe2Co2Sb12,10.1016/j.ceramint.2017.03.011,2017,test
165,"['Co2O3', 'Li2CO3', 'SiO2', 'ZnO']",LiCo0.075Zn1.425SiO4,10.1016/j.ceramint.2017.03.058,2017,test
166,"['MnO2', 'Pr6O11', 'Re2O3', 'SrCO3']",Sr0.5Pr0.4Re0.1MnO3,10.1016/j.ceramint.2017.06.094,2017,test
167,"['Al2O3', 'LuF3', 'Na2CO3', 'NaF', 'SiO2']",Na0.2763Lu0.0658Al0.2632Si0.2632O1F0.3158,10.1016/j.ceramint.2017.07.014,2017,test
168,"['Nb2O5', 'TiO2']",Ti2Nb3O10,10.1016/j.ceramint.2017.08.091,2017,test
169,"['Bi2O3', 'Gd2O3', 'WO3']",GdW2BiO9,10.1016/j.cplett.2017.07.059,2017,test
170,"['AgF', 'Nb2O5']",Nb2AgO5F,10.1016/j.cplett.2017.09.062,2017,test
171,"['BaCO3', 'WO3', 'ZnO']",Ba2WZn0.92O6,10.1016/j.cplett.2017.10.006,2017,test
172,"['BaCO3', 'WO3', 'ZnO']",Ba2WZn0.91O6,10.1016/j.cplett.2017.10.006,2017,test
173,"['BaCO3', 'WO3', 'ZnO']",Ba2WZn0.9O6,10.1016/j.cplett.2017.10.006,2017,test
174,"['BaCO3', 'WO3', 'ZnO']",Ba2WZn0.89O6,10.1016/j.cplett.2017.10.006,2017,test
175,"['BaCO3', 'WO3', 'ZnO']",Ba2WZn0.88O6,10.1016/j.cplett.2017.10.006,2017,test
176,"['CaCO3', 'Na2CO3', 'PH6NO4']",Na3Ca6P5O20,10.1016/j.displa.2017.05.002,2017,test
177,"['Al2O3', 'Co2O3', 'Co3O4']",CoAl10,10.1016/j.dyepig.2016.09.061,2017,test
178,"['Al2O3', 'Co2O3', 'Co3O4']",CoAl30,10.1016/j.dyepig.2016.09.061,2017,test
179,"['Al2O3', 'Co2O3', 'Co3O4']",CoAl20,10.1016/j.dyepig.2016.09.061,2017,test
180,"['Al2O3', 'Co2O3', 'Co3O4']",CoAl,10.1016/j.dyepig.2016.09.061,2017,test
181,"['Al2O3', 'Co2O3', 'Co3O4']",CoAl5,10.1016/j.dyepig.2016.09.061,2017,test
182,"['Mo7H24(NO4)6', 'Yb2O3']",Yb6Mo2O15,10.1016/j.dyepig.2016.11.024,2017,test
183,"['MgO', 'Si3N4', 'SiO2', 'Y2O3']",MgYSi2NO5,10.1016/j.dyepig.2016.12.012,2017,test
184,"['BaCO3', 'P2O5']",Ba10P6O25,10.1016/j.dyepig.2016.12.042,2017,test
185,"['BaCO3', 'Lu2O3', 'SiO2']",BaLu6Si7O24,10.1016/j.dyepig.2016.12.059,2017,test
186,"['BaCO3', 'Lu2O3', 'SiO2']",BaLu5.82Si7O24,10.1016/j.dyepig.2016.12.059,2017,test
187,"['BaCO3', 'Lu2O3', 'SiO2']",BaLu4.62Si7O24,10.1016/j.dyepig.2016.12.059,2017,test
188,"['Bi2O3', 'ZrO2']",Zr3Bi4O12,10.1016/j.dyepig.2017.01.013,2017,test
189,"['Gd2O3', 'MnCO3', 'SiO2']",Gd8Mn2Si6O26,10.1016/j.dyepig.2017.01.033,2017,test
190,"['BaCO3', 'La2O3', 'SiO2']",Ba2La7.2Si6O26,10.1016/j.dyepig.2017.03.048,2017,test
191,"['BaCO3', 'La2O3', 'SiO2']",Ba2La6.4Si6O26,10.1016/j.dyepig.2017.03.048,2017,test
192,"['BaCO3', 'La2O3', 'SiO2']",Ba2La5.6Si6O26,10.1016/j.dyepig.2017.03.048,2017,test
193,"['BaCO3', 'La2O3', 'SiO2']",Ba2La4.8Si6O26,10.1016/j.dyepig.2017.03.048,2017,test
194,"['BaCO3', 'La2O3', 'SiO2']",Ba2La4Si6O26,10.1016/j.dyepig.2017.03.048,2017,test
195,"['BaCO3', 'La2O3', 'SiO2']",Ba2La3.2Si6O26,10.1016/j.dyepig.2017.03.048,2017,test
196,"['BaCO3', 'La2O3', 'SiO2']",Ba2La1.6Si6O26,10.1016/j.dyepig.2017.03.048,2017,test
197,"['BaCO3', 'SiO2']",Ba2Si6O26,10.1016/j.dyepig.2017.03.048,2017,test
198,"['Nd2O3', 'SiO2']",Nd2Si2O7,10.1016/j.dyepig.2017.06.005,2017,test
199,"['Fe2O3', 'Sm2O3']",Sm3Fe5O12,10.1016/j.dyepig.2017.06.038,2017,test
200,"['Bi2O3', 'Fe2O3', 'Sm2O3']",Sm2.9Fe5Bi0.1O12,10.1016/j.dyepig.2017.06.038,2017,test
201,"['Bi2O3', 'Fe2O3', 'Sm2O3']",Sm2.7Fe5Bi0.3O12,10.1016/j.dyepig.2017.06.038,2017,test
202,"['Bi2O3', 'Fe2O3', 'Sm2O3']",Sm2.5Fe5Bi0.5O12,10.1016/j.dyepig.2017.06.038,2017,test
203,"['CaF2', 'SrF2']",SrCaF4,10.1016/j.electacta.2016.12.051,2017,test
204,"['BaF2', 'CaF2']",Ba0.5Ca0.5F2,10.1039/c7dt04487a,2018,test
205,"['HfO2', 'Li2CO3', 'SrCO3', 'Ta2O5']",Li0.375Sr0.438Hf0.25Ta0.75O3,10.1016/j.electacta.2017.03.041,2017,test
206,"['Al2O3', 'CaCO3']",Ca2Al2O5,10.1016/j.fuel.2017.04.111,2017,test
207,"['Bi2O3', 'Gd2O3', 'Lu2O3']",Lu0.1Gd0.1Bi2O3.3,10.1016/j.ijhydene.2016.08.052,2017,test
208,"['Bi2O3', 'Gd2O3', 'Lu2O3']",Lu0.2Gd0.1Bi2O3.45,10.1016/j.ijhydene.2016.08.052,2017,test
209,"['Bi2O3', 'Gd2O3', 'Lu2O3']",Lu0.3Gd0.1Bi2O3.6,10.1016/j.ijhydene.2016.08.052,2017,test
